
미세먼지농도
[검색조건]
지점명 : 서울, 자료구분:시간자료 , 기간 : 20180101 00 ~ 20190101 00

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
108,서울,2018-01-09 02,33
108,서울,2018-01-09 03,30
108,서울,2018-01-09 04,33
108,서울,2018-01-09 05,34
108,서울,2018-01-09 06,31
108,서울,2018-01-09 07,39
108,서울,2018-01-09 08,38
108,서울,2018-01-09 09,46
108,서울,2018-01-09 10,42
108,서울,2018-01-09 11,53
108,서울,2018-01-09 12,49
108,서울,2018-01-09 13,43
108,서울,2018-01-09 14,39
108,서울,2018-01-09 15,39
108,서울,2018-01-09 16,26
108,서울,2018-01-09 17,30
108,서울,2018-01-09 18,43
108,서울,2018-01-09 19,20
108,서울,2018-01-09 20,29
108,서울,2018-01-09 21,28
108,서울,2018-01-09 22,28
108,서울,2018-01-09 23,36
108,서울,2018-01-10 00,15
108,서울,2018-01-10 01,12
108,서울,2018-01-10 02,10
108,서울,2018-01-10 03,10
108,서울,2018-01-10 04,12
108,서울,2018-01-10 05,13
108,서울,2018-01-10 06,15
108,서울,2018-01-10 07,16
108,서울,2018-01-10 08,22
108,서울,2018-01-10 09,32
108,서울,2018-01-10 10,41
108,서울,2018-01-10 11,55
108,서울,2018-01-10 12,63
108,서울,2018-01-10 13,53
108,서울,2018-01-10 14,37
108,서울,2018-01-10 15,32
108,서울,2018-01-10 16,29
108,서울,2018-01-10 17,26
108,서울,2018-01-10 18,28
108,서울,2018-01-10 19,21
108,서울,2018-01-10 20,20
108,서울,2018-01-10 21,16
108,서울,2018-01-10 22,21
108,서울,2018-01-10 23,20
108,서울,2018-01-11 00,20
108,서울,2018-01-11 01,29
108,서울,2018-01-11 02,28
108,서울,2018-01-11 03,28
108,서울,2018-01-11 04,33
108,서울,2018-01-11 05,25
108,서울,2018-01-11 06,32
108,서울,2018-01-11 07,34
108,서울,2018-01-11 08,31
108,서울,2018-01-11 09,31
108,서울,2018-01-11 10,34
108,서울,2018-01-11 11,38
108,서울,2018-01-11 12,37
108,서울,2018-01-11 13,42
108,서울,2018-01-11 14,39
108,서울,2018-01-11 15,39
108,서울,2018-01-11 16,33
108,서울,2018-01-11 17,33
108,서울,2018-01-11 18,27
108,서울,2018-01-11 19,12
108,서울,2018-01-11 20,13
108,서울,2018-01-11 21,17
108,서울,2018-01-11 22,15
108,서울,2018-01-11 23,21
108,서울,2018-01-12 00,14
108,서울,2018-01-12 01,25
108,서울,2018-01-12 02,20
108,서울,2018-01-12 03,12
108,서울,2018-01-12 04,16
108,서울,2018-01-12 05,19
108,서울,2018-01-12 06,9
108,서울,2018-01-12 07,20
108,서울,2018-01-12 08,14
108,서울,2018-01-12 09,14
108,서울,2018-01-12 10,27
108,서울,2018-01-12 11,27
108,서울,2018-01-12 12,35
108,서울,2018-01-12 13,36
108,서울,2018-01-12 14,26
108,서울,2018-01-12 15,24
108,서울,2018-01-12 16,20
108,서울,2018-01-12 17,28
108,서울,2018-01-12 18,26
108,서울,2018-01-12 19,18
108,서울,2018-01-12 20,20
108,서울,2018-01-12 21,27
108,서울,2018-01-12 22,32
108,서울,2018-01-12 23,40
108,서울,2018-01-13 00,36
108,서울,2018-01-13 01,30
108,서울,2018-01-13 02,39
108,서울,2018-01-13 03,35
108,서울,2018-01-13 04,40
108,서울,2018-01-13 05,39
108,서울,2018-01-13 06,25
108,서울,2018-01-13 07,31
108,서울,2018-01-13 08,34
108,서울,2018-01-13 09,27
108,서울,2018-01-13 10,35
108,서울,2018-01-13 11,46
108,서울,2018-01-13 12,50
108,서울,2018-01-13 13,54
108,서울,2018-01-13 14,58
108,서울,2018-01-13 15,74
108,서울,2018-01-13 16,63
108,서울,2018-01-13 17,58
108,서울,2018-01-13 18,55
108,서울,2018-01-13 19,49
