지점,일시,적설(cm)
108,2018-02-01 07:00,1.6
108,2018-02-01 08:00,1.6
108,2018-02-01 09:00,1.6
108,2018-02-01 10:00,1.5
108,2018-02-01 11:00,1.4
108,2018-02-01 12:00,1.3
108,2018-02-01 13:00,1
108,2018-02-01 14:00,.5
108,2018-02-03 03:00,.1
108,2018-02-03 04:00,.2
108,2018-02-03 05:00,.3
108,2018-02-03 06:00,.3
108,2018-02-03 07:00,.3
108,2018-02-03 08:00,.3
108,2018-02-03 09:00,.3
108,2018-02-03 10:00,.2
108,2018-02-03 11:00,.2
108,2018-02-23 00:00,.4
108,2018-02-23 01:00,4
108,2018-02-23 02:00,4.1
108,2018-02-23 03:00,4.1
108,2018-02-23 04:00,3.9
108,2018-02-23 05:00,3.8
108,2018-02-23 06:00,3.8
108,2018-02-23 07:00,3.8
108,2018-02-23 08:00,3.7
108,2018-02-23 09:00,3.7
108,2018-02-23 10:00,3.7
108,2018-02-23 11:00,3.4
108,2018-02-23 12:00,1.7
108,2018-02-23 13:00,.6
108,2018-11-24 07:00,1.3
108,2018-11-24 08:00,4
108,2018-11-24 09:00,7.1
108,2018-11-24 10:00,8.8
108,2018-11-24 11:00,8.8
108,2018-11-24 12:00,7
108,2018-11-24 13:00,6
108,2018-11-24 14:00,5
108,2018-11-24 15:00,4.1
108,2018-11-24 16:00,3.6
108,2018-11-24 17:00,3.5
108,2018-11-24 18:00,3.5
108,2018-11-24 19:00,3.3
108,2018-11-24 20:00,3.3
108,2018-11-24 21:00,3.2
108,2018-11-24 22:00,3.2
108,2018-11-24 23:00,3
108,2018-11-25 00:00,3
108,2018-11-25 01:00,2.9
108,2018-11-25 02:00,2.9
108,2018-11-25 03:00,2.8
108,2018-11-25 04:00,2.6
108,2018-11-25 05:00,2.5
108,2018-11-25 06:00,2.5
108,2018-11-25 07:00,2.5
108,2018-11-25 08:00,2.5
108,2018-11-25 09:00,2.5
108,2018-11-25 10:00,2.4
108,2018-11-25 11:00,2.3
108,2018-11-25 12:00,2.2
108,2018-11-25 13:00,1.8
108,2018-11-25 14:00,1.3
108,2018-11-25 15:00,1.1
108,2018-11-25 16:00,.8
108,2018-11-25 17:00,.4
108,2018-11-25 18:00,.4
108,2018-11-25 19:00,.4
108,2018-11-25 20:00,.4
108,2018-11-25 21:00,.4
108,2018-11-25 22:00,.4
108,2018-11-25 23:00,.4
108,2018-11-26 00:00,.3
108,2018-11-26 01:00,.3
108,2018-11-26 02:00,.3
108,2018-11-26 03:00,.3
108,2018-11-26 04:00,.3
108,2018-11-26 05:00,.3
108,2018-11-26 06:00,.3
108,2018-11-26 07:00,.3
108,2018-11-26 08:00,.3
108,2018-11-26 09:00,.2
108,2018-12-13 08:00,.1
108,2018-12-13 09:00,.5
108,2018-12-13 10:00,1.3
108,2018-12-13 11:00,1.7
108,2018-12-13 12:00,1.5
108,2018-12-13 13:00,.7
108,2018-12-16 10:00,.4
